
OUTPUT


+---------+-------------------+
|  Dates  | Median per months |
+---------+-------------------+
| 2014/05 |        206        |
| 2014/06 |       167.5       |
| 2014/07 |       164.5       |
| 2014/08 |        166        |
| 2014/09 |        192        |
| 2014/10 |        178        |
| 2014/11 |       146.0       |
| 2014/12 |       165.0       |
| 2015/01 |       162.5       |
| 2015/02 |        160        |
| 2015/03 |        167        |
| 2015/04 |       161.0       |
| 2015/05 |       180.0       |
| 2015/06 |       145.0       |
| 2015/07 |        198        |
| 2015/08 |        190        |
| 2015/09 |        166        |
| 2015/10 |       178.5       |
| 2015/11 |       150.0       |
| 2015/12 |       155.5       |
| 2016/01 |       169.5       |
| 2016/02 |       158.5       |
| 2016/03 |       177.0       |
| 2016/04 |        162        |
| 2016/05 |       168.0       |
| 2016/06 |       178.0       |
| 2016/07 |        157        |
| 2016/08 |        170        |
| 2016/09 |        151        |
| 2016/10 |        174        |
| 2016/11 |        166        |
| 2016/12 |       183.5       |
| 2017/01 |        156        |
| 2017/02 |        149        |
| 2017/03 |       177.5       |
| 2017/04 |       163.0       |
| 2017/05 |       164.0       |
| 2017/06 |       172.0       |
| 2017/07 |       175.5       |
| 2017/08 |        159        |
| 2017/09 |       165.5       |
| 2017/10 |        169        |
| 2017/11 |        154        |
| 2017/12 |        167        |
| 2018/01 |       144.0       |
| 2018/02 |       152.0       |
| 2018/03 |        140        |
| 2018/04 |       131.0       |
| 2018/05 |       148.0       |
| 2018/06 |        149        |
| 2018/07 |       155.5       |
| 2018/08 |       168.0       |
| 2018/09 |       147.0       |
| 2018/10 |        152        |
| 2018/11 |        161        |
| 2018/12 |       153.0       |
| 2019/01 |        163        |
| 2019/02 |       148.0       |
| 2019/03 |        148        |
| 2019/04 |        148        |
| 2019/05 |        154        |
| 2019/06 |        153        |
| 2019/07 |        154        |
| 2019/08 |        162        |
| 2019/09 |       157.0       |
| 2019/10 |        170        |
| 2019/11 |       163.0       |
| 2019/12 |       155.5       |
| 2020/01 |        159        |
| 2020/02 |        158        |
| 2020/03 |       148.5       |
| 2020/04 |        163        |
| 2020/05 |       148.0       |
| 2020/06 |       155.0       |
| 2020/07 |       157.0       |
| 2020/08 |        150        |
| 2020/09 |       152.0       |
| 2020/10 |       171.0       |
| 2020/11 |        170        |
| 2020/12 |       161.5       |
| 2021/01 |        162        |
| 2021/02 |        160        |
| 2021/03 |        155        |
| 2021/04 |       159.0       |
| 2021/05 |       153.0       |
| 2021/06 |        162        |
| 2021/07 |        172        |
| 2021/08 |       158.0       |
| 2021/09 |       144.5       |
+---------+-------------------+
Total numbe no of dates are 89
